"",""
"Action","Action"
"Add Wallet","Add Wallet"
"An error occurred while updating the wallets.","An error occurred while updating the wallets."
"Are you sure?","Are you sure?"
"Birth country","Birth country"
"CSV","CSV"
"Change Is Admin","Change Is Admin"
"Change Is One time customer","Change Is One time customer"
"Change Is company","Change Is company"
"Change Is debtor","Change Is debtor"
"Change Is default","Change Is default"
"Change status","Change status"
"City of Birth","City of Birth"
"City","City"
"Company ID number","Company ID number"
"Company description","Company description"
"Company name","Company name"
"Company website","Company website"
"Could not find wallet to delete.","Could not find wallet to delete."
"Country","Country"
"Created at","Created at"
"Customer ID","Customer ID"
"Delete Wallet","Delete Wallet"
"Delete","Delete"
"Disabled","Disabled"
"Dob","Dob"
"Edit Wallet '%s'","Edit Wallet '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error saving wallet","Error saving wallet"
"Excel","Excel"
"Firstname","Firstname"
"Home","Home"
"Id","Id"
"Is Admin","Is Admin"
"Is One time customer","Is One time customer"
"Is company","Is company"
"Is debtor","Is debtor"
"Is default","Is default"
"Lastname","Lastname"
"Lemonway ID","Lemonway ID"
"Mobile Number","Mobile Number"
"Nationality","Nationality"
"No","No"
"None","None"
"Payer or beneficiary","Payer or beneficiary"
"Phone Number","Phone Number"
"Please select wallets to delete.","Please select wallets to delete."
"Please select wallets.","Please select wallets."
"Postcode","Postcode"
"Prefix","Prefix"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Wallet","Save Wallet"
"Status","Status"
"Store views","Store views"
"Street","Street"
"The wallets has been deleted.","The wallets has been deleted."
"There was a problem saving the wallet.","There was a problem saving the wallet."
"There was an error deleting wallet.","There was an error deleting wallet."
"There was an error deleting wallets.","There was an error deleting wallets."
"There was an error updating wallets.","There was an error updating wallets."
"This wallet no longer exists.","This wallet no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d wallets were successfully deleted.","Total of %d wallets were successfully deleted."
"Total of %d wallets were successfully updated.","Total of %d wallets were successfully updated."
"Unable to find wallet to save.","Unable to find wallet to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Wallet ID","Wallet ID"
"Wallet was saved","Wallet was saved"
"Wallet was successfully deleted.","Wallet was successfully deleted."
"Wallet was successfully saved","Wallet was successfully saved"
"Wallet","Wallet"
"Wallets","Wallets"
"XML","XML"
"Yes","Yes"